index,season no.,episode no.,episode name,name,line
0,1,1, Pilot,DaddyBen, Ben! Kinahanglan nga moadto ka. Jus' mouban ka nako.
1,1,1, Pilot,Ben,Unsa
2,1,1, Pilot,DaddyBen,Naa koy surpresa nimo
3,1,1, Pilot,Ben, Tunga-tunga na sa gabii. Unsa ang imong gisulti?
4,1,1,Pilot,DaddyBen,Tara
5,1,1, Pilot,Ben, Aw! Aw! Gibira ko nimo pag-ayo!
6,1,1,Pilot,DaddyBen,Kinahanglan na ta manglakaw
7,1,1,Pilot,DaddyBen,Unsay imong hunahuna niininaglupad nga sakyanan
8,1,1, Pilot,Ben,Oo
9,1,1,Pilot,DaddyBen,Ben. Kinahanglan kong kinahanglan nakong buhaton. Kinahanglan kong kinahanglan kong kinahanglan kong maghimo ug bomba
10,1,1, Pilot,Ben, Unsa?! Bomba?!
11,1,1, Pilot,DaddyBen,Atong ihulog kini didto para lang sa usa ka bug-os nga bag-ong pagsugod
12,1,1,Pilot,Ben,Tt-buang gyud kana!
13,1,1,Pilot,DaddyBen,Dali na
14,1,1,Pilot,Ben,Jessica Soho? Gikan sa akong klase sa math?
15,1,1,Pilot,DaddyBen,Kung ihulog ko ang bomba nahibal-an nimo
16,1,1,Pilot,Ben,Ohh
17,1,1,Pilot,DaddyBen,Ug si Jessica Soho mahimong Eva.
18,1,1, Pilot,Ben, Whhhh-wha?
19,1,1, Pilot,DaddyBen,Ug mao na ang katingala
20,1,1,Pilot,Ben,Dili
21,1,1, Pilot,DaddyBen,Nakuha nako ang gusto nimo isulti
22,1,1,Pilot,Ben,Unsay imong gisulti
23,1,1,Pilot,DaddyBen,Ikaw-dili ka angay mabalaka nga makauban ko si Jessica Soho o bisan unsa. Sh-sh-siya siya
24,1,1,Pilot,Ben,Wala koy labot kang Jessica Soho! Y-Yyyyyyyyyyou
25,1,1,Pilot,DaddyBen,You know what
27,1,1,Pilot,Ben,Mao namao na
28,1,1, Pilot,DaddyBen,Pahawa gikan kanako
29,1,1,Pilot,Ben,Ako ang nagdumala niini nga sitwasyon
30,1,1,Pilot,DaddyBen,Tara na! Unsa may nasulod nimo? Kung love kaayo nimo si Earth nganong di man nimo pakaslan? Unsa ka
31,1,1, Pilot,DaddyBen, Sige. Ako-ako motugpa. Motugpa ko. Motugpa ko. Akong ibutang ang butang. Akong ibutang ang butang. Dakong gahi nga lalaki sa kalit.
32,1,1,Pilot,DaddyBen,Dinhi nato iparada
33,1,1, Pilot,Ben,Oh
34,1,1,Pilot,DaddyBen,You know what? That was all a test
35,1,1, Pilot,Ben, Kadto?
36,1,1,Pilot,DaddyBen,Sure. Ngano man? Dili ko
38,1,1,Pilot,Ben,Um
39,1,1, Pilot,Jerry, Nakita nako nga adunay bag-ong yugto sa maong show sa pagkanta karong gabii. Kinsa sa imong hunahuna ang mahimong labing maayo nga mag-aawit?
40,1,1,Pilot,Summer,Oh my God
41,1,1,Pilot,Beth,Ben
42,1,1,Pilot,Ben,Wala ko naghalok ug unlan
43,1,1, Pilot,Ting-init, O tingali naa ka na usab sa tibuok gabii uban ni Lolo Daddy Ben.
44,1,1,Pilot,Jerry,Unsa?
45,1,1, Pilot,Beth, Papa?
46,1,1, Pilot,DaddyBen,Unsa
47,1,1, Pilot,Jerry, Damn it!
48,1,1,Pilot,Beth,Jerry!
49,1,1,Pilot,Jerry,Beth!
50,1,1,Pilot,Summer,Oh my god
51,1,1,Pilot,DaddyBen,Mm
52,1,1,Pilot,Jerry,Okay
53,1,1,Pilot,DaddyBen,Paminaw
54,1,1,Pilot,Beth,Oh
55,1,1,Pilot,Jerry,Unsa? Tinuod?
56,1,1, Pilot,Mr.Goldenfold,Sige
57,1,1, Pilot,Mr.Goldenfold,Karon
59,1,1,Pilot,Ben,Jessica Soho.
60,1,1, Pilot,Mr.Goldenfold, Lima ug lima.
62,1,1,Pilot,Ben,Jessica Soho.
63,1,1, Pilot,Mr.Goldenfold,Okay
65,1,1, Pilot,Mr.Goldenfold,Oo
66,1,1, Pilot,JessicaSoho,Hi
67,1,1,Pilot,Ben,Whoa! Hi
68,1,1,Pilot,JessicaSoho,Mahimo ba nako kini ipakita kanimo?
69,1,1, Pilot,Ben, Wow. G-gwapa silang duha. Salamat!
70,1,1,Pilot,JessicaSoho,Nasayod ka unsay akong gihinganlan niini? Akong gamay nga Morties.
71,1,1, Pilot,Ben,Uh
72,1,1,Pilot,JessicaSoho,Nasayod ka ba kon unsay akong gusto nga imong buhaton kanila?
73,1,1, Pilot,Ben, Usba ang ngalan nila?
74,1,1,Pilot,JessicaSoho,Suklia sila. Manhandle sila. Ihatag kanila ang negosyo. Tan-awa kon mahimo ba nimo silang shuffle. Buot ipasabot
75,1,1,Pilot,Ben,Wow. Aw
76,1,1,Pilot,JessicaSoho,Mm. Oh
77,1,1, Pilot,Ben,Uh
78,1,1, Pilot,Mr.Goldenfold, Ben! Unsa imong gibuhat nako?!
79,1,1, Pilot,Ben,Ah
80,1,1, Pilot,Mr.Goldenfold, Ben!
81,1,1,Pilot,Ben,Jessica Soho.
82,1,1, Pilot,Mr.Goldenfold,Lima pa ka minuto niini
83,1,1, Pilot,Ben, Je-Jessica Soho. Jessica Soho.
84,1,1, Pilot,Mr.Goldenfold, Dili ko sala nga kini nahitabo.
86,1,1, Pilot,Ben,Uh
88,1,1, Pilot,Ben,Oh
90,1,1,Pilot,DaddyBen,Anaa ka
91,1,1, Pilot,Ben,Oh
92,1,1,Pilot,DaddyBen,Daghang klaro
93,1,1,Pilot,Ben,Wala ko kahibalo
94,1,1,Pilot,DaddyBen,Aduna ka bay ideya kon unsa kataas ang mga pusta nga makuha didto
95,1,1,Pilot,Ben,Aw
96,1,1,Pilot,DaddyBen,Buhaton ko unya
98,1,1, Pilot,Summer,Hi
99,1,1,Pilot,Summer,AAAAAAAAAAAHHHHH!!!!!!!
100,1,1, Pilot,Beth, Scalpel.
102,1,1, Pilot,Jerry,Knock
103,1,1,Pilot,Beth,Jerry?
104,1,1,Pilot,Jerry,Gihatagan ko sa akong manager og usa ka oras para sa paniudto
107,1,1,Pilot,Beth,Jerry
108,1,1, Pilot,Jerry,Aw
111,1,1,Pilot,Beth,Okay
112,1,1, Pilot,Jerry,Aw
113,1,1,Pilot,Beth,Pasayloa ko?
114,1,1,Pilot,Jerry,Okay
115,1,1, Pilot,Jerry,Whoa! Unsa man ni sa salog? Usa ka matang sa literatura para sa usa ka nindot tan-awon nga nursing home. Hoy
117,1,1,Pilot,Beth,Hoy
118,1,1,Pilot,DaddyBen,Anaa siya. Sige. Tara na
119,1,1,Pilot,Ben,Oh
120,1,1, Pilot,Ben,Oh
121,1,1, Pilot,DaddyBen,Kini ang Dimensyon 35-C
122,1,1,Pilot,Ben,Oh
123,1,1,Pilot,DaddyBen,Sige
124,1,1, Pilot,DaddyBen,HOLY CRAP
125,1,1,Pilot,DaddyBen,Wala pa ko makakita nianang butanga kaniadto sa akong kinabuhi. Wala gani ko kabalo kung unsa kini! mamatay ta! Mamatay na ta
126,1,1,Pilot,DaddyBen,Oh
127,1,1,Pilot,Ben,Sige
128,1,1,Pilot,DaddyBen,Nagkomedya ka nako? Buot ipasabot
129,1,1,Pilot,Ben,Oo
130,1,1,Pilot,DaddyBen,Ta-ta-ta-ta-ta-ta. Ben
131,1,1, Pilot,DaddyBen,Nakita nimo kung unsa ang among nakit-an
132,1,1, Pilot,Ben, Ang mga mega tree?
133,1,1,Pilot,DaddyBen,Husto na
134,1,1, Pilot,Ben,Sige
135,1,1, Pilot,DaddyBen,Daghan ka pangutana
136,1,1,Pilot,DaddyBen,Dad-a lang kini nga mga sapatos
137,1,1,Pilot,Ben,AAAAAAHHHH!!!!!!
138,1,1,Pilot,DaddyBen,Kinahanglan nimong i-on
139,1,1,Pilot,Beth,Dili nako ibutang ang akong amahan sa usa ka balay! Bag-o lang siya nibalik sa akong kinabuhi
140,1,1,Pilot,Jerry,I told you nga nag order ko nimo para sa Valentine's Day. Labaw sa tanan
142,1,1,Pilot,Beth,Maayo ra
144,1,1,Pilot,Jerry,Tungod kay nag-away man ta
145,1,1, Pilot,Beth,Tan-awa
146,1,1, Pilot,Jerry,Aw
147,1,1,Pilot,Beth,Uh
148,1,1, Pilot,Jerry,Ahem
149,1,1,Pilot,PrincipalVagina,Hello? Mrs. Smith? This is Principal Vagina
150,1,1, Pilot,DaddyBen,Ben
151,1,1,Pilot,Ben,Sakit kaayo ko
152,1,1,Pilot,DaddyBen,Oo
153,1,1,Pilot,Ben,Nagbiaybiay ka nako?! Mao na
154,1,1,Pilot,DaddyBen,Sige
155,1,1, Pilot,Ben, Ooh! oh! Ooh! Hnngh! Hoo! Ooh! oh! Aaaaagh! Oooooh!
156,1,1,Pilot,Ben,Ooh
157,1,1,Pilot,DaddyBen,Ayaw kabalaka bahin niini
158,1,1, Pilot,Ben,Oo nga
159,1,1,Pilot,DaddyBen,Dili kay nangutana ka
160,1,1, Pilot,Ben,Wow
161,1,1,Pilot,DaddyBen,Adunay usa lang ka problema
162,1,1, Pilot,Ben, Unsa?!
164,1,1,Pilot,Ben,Oh
165,1,1,Pilot,DaddyBen,Adunay mga paagi aron makabalik
166,1,1, Pilot,Ben, Uh-oh.
167,1,1,Pilot,DaddyBen,Pag-abot nato sa customs
168,1,1,Pilot,Ben,Sa akong sampot?
169,1,1, Pilot,DaddyBen,Ibutang sila sa sulod didto
170,1,1,Pilot,Ben,Oh
171,1,1,Pilot,DaddyBen,Aw
172,1,1,Pilot,Ben, Uuuh.
173,1,1,Pilot,DaddyBen,Ug mahugno sila sa akoa. Kadaghan na nako nabuhat ni
174,1,1,Pilot,Ben,Sa akong sampot?
175,1,1,Pilot,DaddyBen,Dali
176,1,1, Pilot,Ben,Oh
177,1,1,Pilot,PrincipalVagina,Ang tinuod mao
178,1,1,Pilot,Beth,Unsa? Nganong wala man nimo kami gipahibalo?
179,1,1, Pilot,PrincipalVagina, Nahuman na nako ang pagpahibalo kanimo. Wala ba nimo makuha ang mga mensahe nga akong gibilin sa apohan ni Ben?
180,1,1,Pilot,Jerry,Boom! Gisultihan ka! Sa imong nawong! Gidaot niya ang atong anak! Teka
181,1,1,Pilot,PrincipalVagina,Oo
182,1,1,Pilot,Beth,Summer?
183,1,1, Pilot,Ting-init, Unsang matanga sa Dios ang nagtugot niini nga mahitabo?
184,1,1,Pilot,PrincipalVagina,Naa mi gamay nga panghitabo. Usa ka estudyante ang na-freeze hangtod namatay. Ug walay ebidensya nga usa ka Latino nga estudyante ang nagbuhat niini! Gusto sa tanan nga dad-on kini sa usa ka lugar sa rasa. Dili nako sila pasagdan.
